code,SG-Trans,Adequacy,Conciseness,Fluency,GREAT,Adequacy,Conciseness,Fluency,NeuralCodeSum,Adequacy,Conciseness,Fluency,Transformer,Adequacy,Conciseness,Fluency,CodeTransformer,Adequacy,Conciseness,Fluency
"public void endElement ( String namespaceURI , String localName , String name ) throws org . xml . sax . SAXException { if ( m_inEntityRef ) return ; m_prefixMap . popNamespaces ( m_elemContext . m_currentElemDepth , null ) ; try { final java . io . Writer writer = m_writer ; if ( m_elemContext . m_startTagOpen ) { if ( m_tracer != null ) super . fireStartElem ( m_elemContext . m_elementName ) ; int nAttrs = m_attributes . getLength ( ) ; if ( nAttrs > _NUM ) { processAttributes ( m_writer , nAttrs ) ; m_attributes . clear ( ) ; } if ( m_spaceBeforeClose ) writer . write ( STRING ) ; else writer . write ( STRING ) ; } else { if ( m_cdataTagOpen ) closeCDATA ( ) ; if ( shouldIndent ( ) ) indent ( m_elemContext . m_currentElemDepth - _NUM ) ; writer . write ( STRING ) ; writer . write ( STRING ) ; writer . write ( name ) ; writer . write ( STRING ) ; } } catch ( IOException e ) { throw new SAXException ( e ) ; } if ( ! m_elemContext . m_startTagOpen && m_doIndent ) { m_ispreserve = m_preserves . isEmpty ( ) ? _BOOL : m_preserves . pop ( ) ; } m_isprevtext = _BOOL ; if ( m_tracer != null ) super . fireEndElem ( name ) ; m_elemContext = m_elemContext . m_prev ; }
",receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5
"public static void f ( String msg , Object ... args ) { if ( ! allowWtf ) return ; StackTraceElement caller = getCallerStackTraceElement ( ) ; String tag = generateTag ( caller ) ; if ( sLevel > LEVEL_FATAL ) { return ; } if ( args . length > _NUM ) { msg = String . format ( msg , args ) ; } Log . wtf ( tag , msg ) ; }
",send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message .,5,5,5
"public void updateView ( ) { if ( fInputElement != null && fParentComposite != null ) { IndicatorViewState oldState = fStateMap . get ( fInputElement ) ; boolean reload = fFilesToReoad . contains ( fInputElement ) ; if ( reload || oldState == null ) { JsonObject jsonObject = DroidsafePluginUtilities . parseIndicatorFile ( fInputElement ) ; if ( jsonObject == null ) return ; fFilesToReoad . remove ( fInputElement ) ; fState = new IndicatorViewState ( fInputElement , jsonObject , getSecuritySpec ( ) , oldState ) ; fStateMap . put ( fInputElement , fState ) ; } else { fState = oldState ; } setPartName ( fState . indicatorType ) ; showPage ( PAGE_VIEWER ) ; fTreeViewer . setInput ( fState . jsonObject ) ; if ( fTreeViewer . getSorter ( ) == null ) sortByField ( getSortByField ( ) ) ; } else { setPartName ( DEFAULT_PART_NAME ) ; } }
",fills and load a attached state object from the log and then understand the current state .,4,4,3,back from the queue < p > json object can be called after the stop is committed,1,2,2,update the view from the json and fill the given inputs,5,5,5,set the uninitialized state of uninitialized requests,3,5,3,computes the media object the page page if .,2,4,4
"protected < T extends AbstractOptionValue < ? , ? > > AbstractOptions ( Function < T , T > valueFilter , AbstractOptions baseOptions , Iterable < T > values ) { requireNonNull ( baseOptions , STRING ) ; requireNonNull ( valueFilter , STRING ) ; requireNonNull ( values , STRING ) ; valueMap = new IdentityHashMap < > ( baseOptions . valueMap ) ; putAll ( valueFilter , StreamSupport . stream ( values . spliterator ( ) , _BOOL ) ) ; }
",creates a new instance .,4,5,5,creates a new instance .,4,5,5,creates a new instance .,4,5,5,creates a new instance .,4,5,5,creates an new instance of this class using .,4,3,5
"private void formatAndLogThrowable ( LoggingLevel level , Color color , String msg , Throwable t ) { if ( ! USE_COLORS ) { formatAndLogThrowable ( level , msg , t ) ; return ; } if ( PhotonLogger . level . id < level . id ) { return ; } LocalDateTime dateTime = LocalDateTime . now ( ) ; String formatted = formatLogLine ( level , dateTime , msg ) ; LoggingService . logThrowable ( dateTime , t , formatted , color ) ; }
",formats and logs a message with a throwable .,5,5,5,formats and logs a message with a throwable .,5,5,5,formats and logs a message with a throwable .,5,5,5,formats and logs a message with a throwable .,5,5,5,formats and logs a message with a arguments .,5,4,3
"public RepeatedFieldBuilder < MType , BType , IType > addMessage ( MType message ) { if ( message == null ) { throw new NullPointerException ( ) ; } ensureMutableMessageList ( ) ; messages . add ( message ) ; if ( builders != null ) { builders . add ( null ) ; } onChanged ( ) ; incrementModCounts ( ) ; return this ; }
",appends the specified element to the end of this list .,5,5,5,appends the specified element to the end of this list .,5,5,5,appends the specified element to the end of this list .,5,5,5,"appends the specified element to the end of this list , if the element is not already present .",5,3,4,appends the specified element to the end of this list .,5,5,5
"private static boolean checkValue ( String val ) throws MalformedObjectNameException { if ( val == null ) throw new NullPointerException ( STRING ) ; final int len = val . length ( ) ; if ( len == _NUM ) return _BOOL ; final char [ ] s = val . toCharArray ( ) ; final int [ ] result = parseValue ( s , _NUM ) ; final int endValue = result [ _NUM ] ; final boolean value_pattern = result [ _NUM ] == _NUM ; if ( endValue < len ) throw new MalformedObjectNameException ( STRING + s [ endValue ] + STRING ) ; return value_pattern ; }
",check the value of the two strings . the following value is within the # ( ) method,3,4,3,checks that a given string value is either .,3,5,2,check that the value is a valid pattern string .,5,5,4,parse a value in the form " or value of an object,3,4,3,matches the the specified value matches the valid integer .,3,3,3
"public void remove ( ) throws RecurrenceInfoException { List < RecurrenceRule > rulesList = new ArrayList < RecurrenceRule > ( ) ; rulesList . addAll ( rRulesList ) ; rulesList . addAll ( eRulesList ) ; try { for ( RecurrenceRule rule : rulesList ) rule . remove ( ) ; info . remove ( ) ; } catch ( RecurrenceRuleException rre ) { throw new RecurrenceInfoException ( rre . getMessage ( ) , rre ) ; } catch ( GenericEntityException gee ) { throw new RecurrenceInfoException ( gee . getMessage ( ) , gee ) ; } }
",removes the recurrence from persistant store .,5,5,5,removes the recurrence from persistant store .,5,5,5,removes the recurrence from persistant store .,5,5,5,removes the recurrence from persistant store .,5,5,5,removes the recurrence from persistant store .,5,5,5
"public static int unionSize ( long [ ] x , long [ ] y ) { final int lx = x . length , ly = y . length ; final int min = ( lx < ly ) ? lx : ly ; int i = _NUM , res = _NUM ; for ( ; i < min ; i ++ ) { res += Long . bitCount ( x [ i ] | y [ i ] ) ; } for ( ; i < lx ; i ++ ) { res += Long . bitCount ( x [ i ] ) ; } for ( ; i < ly ; i ++ ) { res += Long . bitCount ( y [ i ] ) ; } return res ; }
",compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the union size of two bitsets .,5,5,5,compute the intersection size of two bitsets .,4,5,2
"public String toString ( ) { StringBuffer text = new StringBuffer ( ) ; if ( ( m_classAttribute == null ) ) { return STRING ; } try { text . append ( STRING ) ; text . append ( STRING + m_kernel . toString ( ) + STRING ) ; for ( int i = _NUM ; i < m_classAttribute . numValues ( ) ; i ++ ) { for ( int j = i + _NUM ; j < m_classAttribute . numValues ( ) ; j ++ ) { text . append ( STRING + m_classAttribute . value ( i ) + STRING + m_classAttribute . value ( j ) + STRING ) ; text . append ( m_classifiers [ i ] [ j ] ) ; if ( m_fitLogisticModels ) { text . append ( STRING ) ; if ( m_classifiers [ i ] [ j ] . m_logistic == null ) { text . append ( STRING ) ; } else { text . append ( m_classifiers [ i ] [ j ] . m_logistic ) ; } } text . append ( STRING ) ; } } } catch ( Exception e ) { return STRING ; } return text . toString ( ) ; }
",prints out the attribute evaluator .,4,5,3,outputs a description of one attribute .,3,5,5,returns a text attribute list ( ) that is represented by a small string .,4,3,4,returns a description of this attribute and the auto - string describing a ring of the class and values .,5,2,4,returns optimal text text of .,2,3,1
"private static boolean isDoubleEqual ( double value , double valueToCompare ) { return ( Math . abs ( value - valueToCompare ) < _NUM ) ; }
",verifies that the double value is equal to the given double . if the double value is not finite as a negative number .,5,3,4,returns true if the value is a " decimal " double to the given double value .,2,5,4,check if double value is equal to the tail,5,5,4,returns true if the given value is equal to this minimum function .,3,5,4,this if value present value to needed to .,1,2,1
"public void testIntValuePos ( ) { String a = STRING ; BigDecimal aNumber = new BigDecimal ( a ) ; int result = - _NUM ; assertTrue ( STRING , aNumber . intValue ( ) == result ) ; }
",integer value of a positive bigdecimal,3,5,5,integer value of a positive bigdecimal,3,5,5,integer value of a positive bigdecimal,3,5,5,integer value of a positive bigdecimal,3,5,5,integer value of a negative bigdecimal .,3,5,5
"private void walk ( File directory , int depth , Collection < T > results ) throws IOException { checkIfCancelled ( directory , depth , results ) ; if ( handleDirectory ( directory , depth , results ) ) { handleDirectoryStart ( directory , depth , results ) ; int childDepth = depth + _NUM ; if ( depthLimit < _NUM || childDepth <= depthLimit ) { checkIfCancelled ( directory , depth , results ) ; File [ ] childFiles = filter == null ? directory . listFiles ( ) : directory . listFiles ( filter ) ; childFiles = filterDirectoryContents ( directory , depth , childFiles ) ; if ( childFiles == null ) { handleRestricted ( directory , childDepth , results ) ; } else { for ( File childFile : childFiles ) { if ( childFile . isDirectory ( ) ) { walk ( childFile , childDepth , results ) ; } else { checkIfCancelled ( childFile , childDepth , results ) ; handleFile ( childFile , childDepth , results ) ; checkIfCancelled ( childFile , childDepth , results ) ; } } } } handleDirectoryEnd ( directory , depth , results ) ; } checkIfCancelled ( directory , depth , results ) ; }
",main recursive method to examine the directory hierarchy .,4,5,5,main recursive method to examine the directory hierarchy .,4,5,5,main recursive method to examine the directory hierarchy .,4,5,5,main recursive method to examine the directory hierarchy .,4,5,5,main recursive method to examine the directory hierarchy .,4,5,5
"public static Object [ ] ordinalArray ( TupleSet tuples , String field ) { return ordinalArray ( tuples , field , DefaultLiteralComparator . getInstance ( ) ) ; }
",get a sorted array containing all column values for a given tuple iterator and field .,5,5,5,get a sorted array containing all column values for a given tuple iterator and field .,5,5,5,get a sorted array containing all column values for a given tuple iterator and field .,5,5,5,get a sorted array containing all column values for a given tuple iterator and field .,5,5,5,get a sorted array containing all column values for a given tuple iterator .,4,5,5
"public void testDivideExceptionInvalidRM ( ) { String a = STRING ; int aScale = _NUM ; String b = STRING ; int bScale = _NUM ; BigDecimal aNumber = new BigDecimal ( new BigInteger ( a ) , aScale ) ; BigDecimal bNumber = new BigDecimal ( new BigInteger ( b ) , bScale ) ; try { aNumber . divide ( bNumber , _NUM ) ; fail ( STRING ) ; } catch ( IllegalArgumentException e ) { assertEquals ( STRING , STRING , e . getMessage ( ) ) ; } }
",divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide with invalid rounding mode,5,5,5,divide rounding negative rounding mode .,5,5,5
"public static boolean isStringType ( Type t ) { return t . equals ( RefType . v ( STRING ) ) ; }
",return true if this reference is a string for a given type .,5,5,5,"tells whether the given type is a string . a type is a link type , i . e . t , "" & lt ; "" .",4,3,2,check if a given string is a integer .,1,5,5,"return true if this type is a string , false otherwise .",5,3,4,return true if this type is to as as or .,2,3,1
"private void validateSqlStatement ( String sql , int jdbcStatementIndex ) { Assert . isTrue ( StringUtils . isNotBlank ( sql ) , STRING + jdbcStatementIndex + STRING ) ; }
",validate if the jni statement is not valid,2,5,4,validate the given sql statement in the database .,3,5,5,check if sql statement .,3,4,2,"validates the given sql statement and adds statements to the expected parameters . if the sql string is not empty , it will be an exception .",3,3,3,check if passed statement statement entry any statement is the database .,2,3,2
"public static Long [ ] valuesOf ( long [ ] array ) { Long [ ] dest = new Long [ array . length ] ; for ( int i = _NUM ; i < array . length ; i ++ ) { dest [ i ] = Long . valueOf ( array [ i ] ) ; } return dest ; }
",converts to object array .,5,5,5,converts to object array .,5,5,5,converts to object array .,5,5,5,converts to object array .,5,5,5,converts to byte array .,5,5,5
"private static void useMissile ( Player player ) { StackableItem projectilesItem = null ; if ( player . getRangeWeapon ( ) != null ) { projectilesItem = player . getAmmunition ( ) ; } if ( projectilesItem == null ) { projectilesItem = player . getMissileIfNotHoldingOtherWeapon ( ) ; } if ( projectilesItem != null ) { projectilesItem . removeOne ( ) ; } }
",make a dialog garbage it starts its own rate,1,5,4,kills a specific player .,2,5,5,"start tom , no longer used .",2,5,3,removes an storage range from items,3,5,5,remove an exit status status status the status status .,1,1,1
"private int determineMaxLevelRec ( int level , Node v ) { int newLevel = level ; for ( Edge e = v . getFirstOutEdge ( ) ; e != null ; e = v . getNextOutEdge ( e ) ) { newLevel = Math . max ( newLevel , determineMaxLevelRec ( level , e . getTarget ( ) ) + _NUM ) ; } return newLevel ; }
","boxradius level , calculate the relevant level level , and null values of all edges .",3,5,3,determine the level of the given level,3,5,5,"return the index to fit the given level , replacing all transfers of the old edge to the new level",2,3,4,multiplies = max + max level,2,4,2,checks the not minimum for .,1,4,2
"private synchronized void putMapEntry ( String localId , MapEntry entry ) { if ( ! isLocalId ( localId ) ) { throw new IllegalStateException ( STRING + localId + STRING ) ; } JSONObject json = new JSONObject ( ) ; try { json . put ( STRING , entry . retainCount ) ; if ( entry . objectId != null ) { json . put ( STRING , entry . objectId ) ; } } catch ( JSONException je ) { throw new IllegalStateException ( STRING , je ) ; } File file = new File ( diskPath , localId ) ; if ( ! diskPath . exists ( ) ) { diskPath . mkdirs ( ) ; } try { ParseFileUtils . writeJSONObjectToFile ( file , json ) ; } catch ( IOException e ) { } }
",store entry to xml request,3,5,5,emits a string entry to a log file in the local cache that contains the specified entry .,4,3,3,inserts an entry into the disk cache .,3,5,4,this is invoked in the json implementation to ensure that we need to store a tomcat in the json state and saves the state in the request .,3,4,4,internal snapshot of and local local file and and and and .,3,5,2
"public void endElement ( String namespaceURI , String localName , String name ) throws org . xml . sax . SAXException { if ( m_inEntityRef ) return ; m_prefixMap . popNamespaces ( m_elemContext . m_currentElemDepth , null ) ; try { final java . io . Writer writer = m_writer ; if ( m_elemContext . m_startTagOpen ) { if ( m_tracer != null ) super . fireStartElem ( m_elemContext . m_elementName ) ; int nAttrs = m_attributes . getLength ( ) ; if ( nAttrs > _NUM ) { processAttributes ( m_writer , nAttrs ) ; m_attributes . clear ( ) ; } if ( m_spaceBeforeClose ) writer . write ( STRING ) ; else writer . write ( STRING ) ; } else { if ( m_cdataTagOpen ) closeCDATA ( ) ; if ( shouldIndent ( ) ) indent ( m_elemContext . m_currentElemDepth - _NUM ) ; writer . write ( STRING ) ; writer . write ( STRING ) ; writer . write ( name ) ; writer . write ( STRING ) ; } } catch ( IOException e ) { throw new SAXException ( e ) ; } if ( ! m_elemContext . m_startTagOpen && m_doIndent ) { m_ispreserve = m_preserves . isEmpty ( ) ? _BOOL : m_preserves . pop ( ) ; } m_isprevtext = _BOOL ; if ( m_tracer != null ) super . fireEndElem ( name ) ; m_elemContext = m_elemContext . m_prev ; }
",receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5,receive notification of the end of an element .,3,5,5
"public static void f ( String msg , Object ... args ) { if ( ! allowWtf ) return ; StackTraceElement caller = getCallerStackTraceElement ( ) ; String tag = generateTag ( caller ) ; if ( sLevel > LEVEL_FATAL ) { return ; } if ( args . length > _NUM ) { msg = String . format ( msg , args ) ; } Log . wtf ( tag , msg ) ; }
",send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message,5,5,5,send a fatal error log message .,5,5,5
"public boolean boundScroll ( ) { float curScroll = getStackScroll ( ) ; float newScroll = getBoundedStackScroll ( curScroll ) ; if ( Float . compare ( newScroll , curScroll ) != _NUM ) { setStackScroll ( newScroll ) ; return _BOOL ; } return _BOOL ; }
","bounds the current scroll if necessary , but does not synchronize the stack view with the model .",5,5,5,"bounds the current scroll if necessary , but does not synchronize the stack view with the model .",5,5,5,"bounds the current scroll if necessary , but does not synchronize the stack view with the model .",5,5,5,"bounds the current scroll if necessary , but does not synchronize the stack view with the model .",5,5,5,bounds the current scroll if necessary but .,3,3,2
"public void waitForVolumesToBeVisible ( CGRequestParams request ) { scan ( request . getCopies ( ) , request . getRsets ( ) ) ; }
",causes the request to be done in the " importation " and " set of outstanding .,4,4,4,waits for the request to highlight the locator .,4,5,5,waits for the node to have expired .,3,5,5,"f1 the request parameters why on an input request . after the request is completed , this call is used to test the visited activities .",5,4,3,handles the request request request request request request request request request request used request .,1,1,1
"public void updateView ( ) { if ( fInputElement != null && fParentComposite != null ) { IndicatorViewState oldState = fStateMap . get ( fInputElement ) ; boolean reload = fFilesToReoad . contains ( fInputElement ) ; if ( reload || oldState == null ) { JsonObject jsonObject = DroidsafePluginUtilities . parseIndicatorFile ( fInputElement ) ; if ( jsonObject == null ) return ; fFilesToReoad . remove ( fInputElement ) ; fState = new IndicatorViewState ( fInputElement , jsonObject , getSecuritySpec ( ) , oldState ) ; fStateMap . put ( fInputElement , fState ) ; } else { fState = oldState ; } setPartName ( fState . indicatorType ) ; showPage ( PAGE_VIEWER ) ; fTreeViewer . setInput ( fState . jsonObject ) ; if ( fTreeViewer . getSorter ( ) == null ) sortByField ( getSortByField ( ) ) ; } else { setPartName ( DEFAULT_PART_NAME ) ; } }
",fills and load a attached state object from the log and then understand the current state .,4,5,3,back from the queue < p > json object can be called after the stop is committed,4,5,5,update the view from the json and fill the given inputs,4,5,5,set the uninitialized state of uninitialized requests,2,3,4,computes the media object the page page if .,2,1,1
"public void addSeriesRenderer ( int index , SimpleSeriesRenderer renderer ) { mRenderers . add ( index , renderer ) ; }
",adds a simple renderer to the multiple renderer .,4,4,5,adds a simple renderer to the multiple renderer .,4,4,5,adds a simple renderer to the multiple renderer .,4,4,5,adds a simple renderer to the multiple renderer .,4,4,5,adds a simple renderer to the multiple renderer .,4,4,5
"private float calcAngle ( float value ) { return value / mData . getYValueSum ( ) * _NUM ; }
",calculates the needed angle for a given value,4,5,5,calculates the needed angle for a given value,4,5,5,calculates the needed angle for a given value,4,5,5,calculates the needed angle for a given value,4,5,5,calculates the needed angle for a given value .,4,5,5
"protected < T extends AbstractOptionValue < ? , ? > > AbstractOptions ( Function < T , T > valueFilter , AbstractOptions baseOptions , Iterable < T > values ) { requireNonNull ( baseOptions , STRING ) ; requireNonNull ( valueFilter , STRING ) ; requireNonNull ( values , STRING ) ; valueMap = new IdentityHashMap < > ( baseOptions . valueMap ) ; putAll ( valueFilter , StreamSupport . stream ( values . spliterator ( ) , _BOOL ) ) ; }
",creates a new instance .,3,5,5,creates a new instance .,3,5,5,creates a new instance .,3,5,5,creates a new instance .,3,5,5,creates an new instance of this class using .,3,5,5
"public CharSeq concat ( CharSeq another ) { return new CharSeq ( str + another . str ) ; }
",create a new charseq with the given string,4,5,5,construct a new charseq with the values of this charseq that matches the given charseq .,5,4,5,returns a new charseq with the same content,4,5,5,"returns a new charseq whose value is this charseq , with the given string",5,4,3,returns a with given given string .,3,3,3
"private void formatAndLogThrowable ( LoggingLevel level , Color color , String msg , Throwable t ) { if ( ! USE_COLORS ) { formatAndLogThrowable ( level , msg , t ) ; return ; } if ( PhotonLogger . level . id < level . id ) { return ; } LocalDateTime dateTime = LocalDateTime . now ( ) ; String formatted = formatLogLine ( level , dateTime , msg ) ; LoggingService . logThrowable ( dateTime , t , formatted , color ) ; }
",formats and logs a message with a throwable .,4,5,5,formats and logs a message with a throwable .,4,5,5,formats and logs a message with a throwable .,4,5,5,formats and logs a message with a throwable .,4,5,5,formats and logs a message with a arguments .,4,5,5
"public static String decodeCharset ( String s , String charset ) { if ( s == null ) { return null ; } try { byte buf [ ] = s . getBytes ( ASCII_CHARSET ) ; return ( new String ( buf , _NUM , buf . length , charset ) ) ; } catch ( UnsupportedEncodingException uee ) { return s ; } }
","decodes ' s basic encoding - encoded octets in ' % ' , using the specified encoding .",4,3,4,decodes data in the specified string using the utf - 8 scheme .,4,4,5,decode a string that looks like " % 25 " and two - character escapes " . the platform is converted to the character encoding .,4,5,5,"decodes a byte array into its string , using the specified encoding as specified by the base64 encoding . escaped characters are converted back to their original representation .",4,3,4,converts the contents that an string using .,2,3,5
"public void addRestrictedDomain ( String domainName ) { if ( StringUtils . isEmpty ( domainName ) ) { return ; } if ( restrictedDomains == null ) { restrictedDomains = new ArrayList < > ( ) ; } restrictedDomains . add ( domainName ) ; }
",adds specified domain name to the list of restricted domains,4,5,5,adds specified domain name to the list of restricted domains,4,5,5,adds specified domain name to the list of restricted domains,4,5,5,add specified domain name to the list of permitted domains,4,5,5,adds a sub name to the sub of sub sub sub .,2,2,2
"public static String map2OID ( String algName ) { return alg2OidMap . get ( algName . toUpperCase ( Locale . US ) ) ; }
",returns oid for algname,3,5,5,safe to convert the string representation for a short value .,5,5,5,this method converts charset ' s asap letter to their string representation .,5,5,5,returns oid for algname,3,5,5,returns oid code algname .,3,5,5
"public void fireAnnotationSelected ( WorkflowAnnotation anno ) { List < WorkflowAnnotation > list = new LinkedList < > ( ) ; list . add ( anno ) ; fireAnnotationsChanged ( AnnotationEvent . SELECTED_ANNOTATION_CHANGED , list ) ; }
",fire when an annotation has been selected .,3,5,5,fire when the something minor with workflow annotations has changed which only requires a repaint .,4,5,5,fire when the something minor with workflow annotations has changed which only requires a repaint .,4,5,5,fire when the something minor with workflow annotations has changed which only requires a repaint .,4,5,5,update when an annotation has been moved ie .,4,5,5
"public AwsIotConnection ( AbstractAwsIotClient client ) { this . client = client ; }
",creates a new connection .,3,5,5,creates a new connection with one byte compaction as a client side .,4,5,5,creates a new red5 object to acquire the specified client .,4,5,5,create a client with the server,3,5,5,resets a client client .,3,3,3
"public MetaDataColumnDescriptor ( String columnName , int jdbcType , Object defaultValue ) { _columnName = columnName . toUpperCase ( ) ; _jdbcType = jdbcType ; _defaultValue = defaultValue ; }
",creates a new lob .,2,5,5,create a standard java representation of a field .,3,5,5,create a tracerunnable object that can be used to look up the specified name .,4,5,5,returns a new exemption variable ordinary from upper case in readresponse ( no limit ) .,3,4,5,constructs a new object .,2,5,5
"public void add ( IPoint pt ) { if ( inProgress ) { throw new ConcurrentModificationException ( STRING ) ; } points . add ( pt ) ; }
",add point to the partial hull .,3,5,5,adds points to the partial hull .,3,5,5,add the given point .,2,5,5,add a point to the end of the polygon,3,5,5,add given at given given set and .,1,1,1
"public static Date parseText ( String dateStr ) { try { return mSimpleTextFormat . parse ( dateStr ) ; } catch ( ParseException e ) { e . printStackTrace ( ) ; throw new RuntimeException ( STRING ) ; } }
",parse string to datetime,3,5,5,parse the given string into date object,4,5,5,parse string to date,3,5,5,parse string to date,3,5,5,parse string to datetime .,3,5,5
"public void addMessageObserver ( final MessageObserver observer ) { if ( observer == null ) { throw new NullPointerException ( ) ; } else if ( messageObservers == null ) { initMessageObserverList ( ) ; } messageObservers . add ( observer ) ; }
",adds the specified message observer .,3,5,5,adds the specified message to this message ' s list .,3,5,5,appends a message to this message .,2,3,5,adds a message to this rendered ' s platform .,4,5,5,adds an provided message observer to .,3,2,3
"protected final void updateBorderText ( final String text ) { Preconditions . checkNotNull ( text , STRING ) ; m_titledBorder . setTitle ( text ) ; updateUI ( ) ; }
",updates the border text of the text .,3,3,5,updates the border text based on the text of the control .,3,2,5,updates the cursor text about the phonetic text .,4,4,5,updates the border text according to the updating of the component .,4,3,5,updates and text with as a text .,3,3,5
"public void addColumn ( int idx , Column column ) { if ( column != null ) { columns . add ( idx , column ) ; } }
",adds a new column at the specified position .,3,5,5,adds a new column to the table .,2,5,5,adds a column at the given position .,3,5,5,adds a new column to the set of columns . this is used when the column has been created .,4,4,5,adds a column column to the table position .,3,3,3
"private Member nextMember ( Member . Type type ) { return new TestMember ( type , new Address ( STRING , ++ port ) , new Address ( STRING , port + _NUM ) ) ; }
",returns the next member reference .,3,5,5,get a member member .,2,3,3,returns a new member of the type ( including the tokenizer defined ) .,4,5,5,returns the specified object returns the sales .,3,3,3,returns the member member .,2,3,2
"protected int executePrepareStatement ( List < Column > columns , PreparedStatement statement ) throws SQLException { int bindNo = _NUM ; for ( Column c : columns ) { setColumnValue ( statement , bindNo , c ) ; bindNo ++ ; } return statement . executeUpdate ( ) ; }
",executes a prepared statement using values supplied as arguments .,2,4,5,executes an insert query with values supplied as arguments .,3,4,5,executes a sql statement using the provided statement and return the result .,4,5,5,executes a prepared statement using update ( or certificates ) and stores the update statements .,3,4,5,execute the batch statement .,3,5,5
"public static String toString ( Reader reader , long timeout ) throws IOException { StringWriter sw = new StringWriter ( _NUM ) ; copy ( toBufferedReader ( reader ) , sw , timeout ) ; sw . close ( ) ; return sw . toString ( ) ; }
",reads string data from a reader,3,4,5,"reads a string data from the xml string , optionally closing the timeout .",4,4,5,reads string data object to a reader,3,5,5,reads string data from a reader,3,5,5,read reader from from a reader .,2,3,3
"ListBasedTokenStream ( AttributeSource attributeSource , List < AttributeSource > tokens ) { super ( attributeSource . getAttributeFactory ( ) ) ; this . tokens = tokens ; addAttributes ( attributeSource ) ; }
",creates a new listbasedtokenstream which uses the given attribute source .,3,4,5,creates a new listbasedtokenstream which wraps the attributes of the supplied shadow . only attributes will be set in sdk .,4,4,5,"creates an priority attribute list with the given attribute , using the given regular expression bundle .",3,4,5,creates a new listbasedtokenstream which uses the given attributes ( only " no cluster ) .,4,4,4,constructs a new attribute which is the provided attribute as an attribute .,2,3,3
"protected void appendText ( final String text ) { if ( text != null ) { textBody . append ( text ) ; } }
",append text to the start of the buffer .,3,5,5,"append a text , except when text is received .",3,5,5,"append text , splitting the contents of the text , and escapes the associated tag if necessary .",4,4,5,prints the text in the overview,2,5,5,append text to the body body .,2,3,3
"@ SuppressWarnings ( STRING ) public PropagationImp ( Stack < CompositeTransaction > lineage , boolean serial , long timeout ) { serial_ = serial ; lineage_ = ( Stack < CompositeTransaction > ) lineage . clone ( ) ; timeout_ = timeout ; }
",create a new instance .,2,5,5,clone a new instance with a given timeout .,3,5,5,create a new transaction for the specified amount of time .,4,5,5,create a new instance of transitioned .,2,5,5,construct a new instance with the specified detail string and exception .,4,5,5
"public void add ( String methodName , List < Expression > parameters ) { chain . add ( new DotExpressionItem ( methodName , parameters , _BOOL ) ) ; }
",add a method to the chain of methods after the chain of parameters .,3,3,5,"adds a method to the chain of methods after the dot , indicating that this segment is a property and does not need parenthesis and won ' t have paramaters .",4,4,5,add a single - item to the chain of methods after removing the parameters .,4,5,5,"add a method to the chain of methods after the dot , indicating the this segment is a list of methods and does not need a dot with a flow offset . note : this method handles a flow of the dot - > 80 .",4,5,5,add a parameterized to the list of methods that the chain does .,3,5,5
"private int calculateTotalHeight ( float starSize , int numberOfStars , float starsSeparation , boolean padding ) { return Math . round ( starSize ) + ( padding ? getPaddingTop ( ) + getPaddingBottom ( ) : _NUM ) ; }
",calculates total height to occupy based on several parameters,3,5,5,calculates total width to align width / height based on several crop set of other image,3,4,5,calculates total width to occupy based on several parameters,3,5,5,calculates total width to occupy based on several parameters,3,5,5,calculates total width to occupy based on several parameters .,3,5,5
"public void removeAction ( NetworkUpdateAction action ) { actionList . remove ( action ) ; for ( UpdateManagerListener listener : listeners ) { listener . actionRemoved ( action ) ; } }
",completely remove an action .,3,5,5,remove an action .,3,5,5,remove an action from the list .,3,5,5,completely remove an action .,3,5,5,removes remove an action from .,3,3,3
"public byte [ ] toByteArray ( ) { return Arrays . copyOf ( buf , cnt ) ; }
",creates a newly allocated byte array . its size is the current size of this output stream and the valid contents of the buffer have been copied into it .,4,5,5,safe access to the digest stored in a hash,3,5,5,safe access to the digest stored in a hash,3,5,5,returns the written bytes in a byte array . its size is the current size of this output stream .,3,3,5,gets the byte byte byte array .,2,3,2
"HttpStreamWrapper ( HttpStream stream ) throws IOException { _stream = stream ; }
",creates a new http stream wrapper .,4,5,5,creates a new timeobject object .,3,5,5,constructs a new instance of this class .,3,5,5,constructs a new stream of reflects .,3,5,5,creates a new xmlwriter plugin .,4,5,5
